channel_set,g,metric_name,metric_value,model_family,run_id,stride,ticket_stage,track,view_mode,window_size
,25,acc@1,0.398406374501992,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,diff,100
,25,acc@5,8.764940239043826,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,diff,100
,25,macro_precision,0.07373595505617977,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,diff,100
,25,macro_recall,0.4,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,diff,100
,25,macro_f1,0.11651469098277609,transformer,a4_transformer_cls_w100_g25_shuffled_labels-20260401-023844-4ce3c040,50,,exact-upstream,diff,100
,0,acc@1,28.24858757062147,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,raw,100
,0,acc@5,61.95856873822976,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,raw,100
,0,macro_precision,26.468033656674628,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,raw,100
,0,macro_recall,28.37272727272728,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,raw,100
,0,macro_f1,23.552606787816444,transformer,a5_transformer_cls_w100_g0-20260401-023921-349b11c0,50,,exact-upstream,raw,100
,0,acc@1,28.24858757062147,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,raw,100
,0,acc@5,61.95856873822976,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,raw,100
,0,macro_precision,26.468033656674628,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,raw,100
,0,macro_recall,28.37272727272728,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,raw,100
,0,macro_f1,23.552606787816444,transformer,e0_transformer_cls_w100_g0-20260401-024241-57c1b3e1,50,t07,exact-upstream,raw,100
,25,acc@1,54.18326693227091,transformer,e0_transformer_cls_w100_g25-20260401-020424-86efd02e,50,t07,exact-upstream,diff,100
,25,acc@5,88.44621513944223,transformer,e0_transformer_cls_w100_g25-20260401-020424-86efd02e,50,t07,exact-upstream,diff,100
,25,macro_precision,57.39907843274716,transformer,e0_transformer_cls_w100_g25-20260401-020424-86efd02e,50,t07,exact-upstream,diff,100
,25,macro_recall,54.214141414141416,transformer,e0_transformer_cls_w100_g25-20260401-020424-86efd02e,50,t07,exact-upstream,diff,100
,25,macro_f1,50.429012333660005,transformer,e0_transformer_cls_w100_g25-20260401-020424-86efd02e,50,t07,exact-upstream,diff,100
,25,acc@1,54.18326693227091,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,t07,exact-upstream,diff,100
,25,acc@5,88.44621513944223,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,t07,exact-upstream,diff,100
,25,macro_precision,57.39907843274716,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,t07,exact-upstream,diff,100
,25,macro_recall,54.214141414141416,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,t07,exact-upstream,diff,100
,25,macro_f1,50.429012333660005,transformer,e0_transformer_cls_w100_g25-20260401-020535-86efd02e,50,t07,exact-upstream,diff,100
