epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_primary_aggregator,validation_file_acc@1,validation_file_f1,is_best
1,0.003,2.8523238430080045,25.384997516145056,30.66132264529058,25.808880914787675,mean_logits,44.0,33.14285714285714,true
2,0.002999503121214558,1.9604514873389043,46.547441629408844,42.88577154308617,39.85458433975843,mean_probabilities,62.0,54.46666666666666,true
3,0.0029980128253941324,1.659007395610724,57.17834078489816,53.106212424849694,50.849392986699684,mean_logits,68.0,59.13333333333334,true
4,0.002995530133913036,1.5001393980015822,63.58668653750621,52.30460921843687,49.19954528325192,mean_logits,74.0,68.0,true
5,0.0029920567482839967,1.3919216673349304,67.95827123695976,50.300601202404806,45.86124452472493,mean_probabilities,68.0,59.66666666666667,false
6,0.0029875950489920257,1.3030666619228357,70.54148037754595,58.116232464929865,56.26047927872669,mean_probabilities,80.0,74.66666666666667,true
7,0.0029821480938629504,1.2606309434399934,72.28017883755588,53.50701402805611,50.460576142546884,mean_logits,70.0,62.33333333333333,false
8,0.0029757196159677347,1.2158716718651914,75.55886736214605,53.3066132264529,50.68153655769755,mean_probabilities,66.0,57.46666666666667,false
9,0.0029683140210640183,1.1691068635908337,76.40337804272231,57.11422845691383,54.06751261064924,mean_logits,76.0,69.13333333333333,false
10,0.0029599363845766308,1.1179421178393263,77.59562841530055,54.10821643286573,52.11496267459984,mean_probabilities,76.0,69.66666666666666,false
11,0.0029505924481191487,1.102803722993687,78.73820168902137,58.116232464929865,56.06744355668619,mean_probabilities,74.0,66.66666666666666,false
12,0.0029402886155588796,1.0266418852618957,81.7685047193244,60.120240480961925,57.68724098270902,mean_logits,76.0,68.66666666666666,false
13,0.0029290319486279725,1.0102372043060535,81.7685047193244,57.91583166332666,56.68411716899906,mean_logits,72.0,65.33333333333333,false
14,0.0029168301620836586,0.9707681182836693,83.40784898161948,58.717434869739485,56.916839893578356,mean_probabilities,74.0,68.0,false
15,0.002903691618420942,0.9285068946635611,85.09687034277198,62.925851703406806,61.0989576105553,mean_logits,78.0,72.0,false
16,0.0028896253221413655,0.9458599591574974,84.89816194734227,57.91583166332666,56.438795049458655,mean_probabilities,72.0,64.66666666666666,false
17,0.002874640913581771,0.9045316166861165,86.18976651763538,58.116232464929865,56.77076572486648,mean_probabilities,82.0,77.33333333333333,true
18,0.002858748662307298,0.9116480027154732,85.24590163934427,58.517034068136276,56.0828445460277,mean_logits,76.0,70.99999999999999,false
19,0.002841959460073133,0.8869684865921218,86.33879781420765,59.519038076152306,57.618290184117626,majority_vote,76.0,70.0,false
20,0.0028242848133598493,0.8650700667576001,87.13363139592647,57.71543086172345,56.02116206152304,mean_logits,84.0,79.33333333333333,true
21,0.002805736835487436,0.8339882556088102,89.46845504222553,61.12224448897795,59.773835135406785,mean_logits,74.0,68.46666666666667,false
22,0.002786328238313433,0.841787843341799,88.2762046696473,58.717434869739485,57.209212968562326,mean_logits,76.0,69.66666666666666,false
23,0.0027660723235208642,0.7990282597496802,90.46199701937407,58.717434869739485,57.543517648551976,mean_logits,72.0,64.66666666666666,false
24,0.0027449829735019223,0.7892743809804713,89.71684053651266,60.320641282565134,59.453057977852694,majority_vote,78.0,71.0,false
25,0.0027230746418436735,0.7957738660427687,90.9090909090909,60.72144288577155,59.92909623980697,mean_probabilities,76.0,70.0,false
26,0.0027003623434222906,0.7885132089397887,90.5116741182315,63.92785571142284,61.828551028225185,mean_logits,76.0,69.33333333333333,false
27,0.0026768616441126074,0.7881103267257509,90.11425732737209,61.523046092184366,60.350191427280045,mean_logits,82.0,77.66666666666667,false
28,0.0026525886501200446,0.7807476626245524,90.85941381023348,61.12224448897795,60.57265722503913,mean_logits,86.0,81.99999999999999,true
29,0.0026275599969422213,0.7522067880073828,91.65424739195231,58.116232464929865,55.027329971511904,mean_logits,76.0,68.99999999999999,false
30,0.0026017928379678166,0.7376313699280748,92.59811227024342,56.71342685370742,54.62882836052611,mean_logits,76.0,69.66666666666666,false
31,0.0025753048327204937,0.7229706531606145,93.04520615996026,58.91783567134269,57.725755004550315,mean_probabilities,78.0,72.33333333333333,false
32,0.0025481141347559427,0.7189329832984747,93.54197714853453,60.72144288577155,59.08487843540474,mean_logits,84.0,80.0,false
