epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_primary_aggregator,validation_file_acc@1,validation_file_f1,is_best
1,0.002,4.014524049801549,1.6890213611525087,2.004008016032064,0.07858546168958742,mean_probabilities,2.0,0.0784313725490196,true
2,0.0019997545290689443,3.9334681053038443,1.5896671634376554,2.2044088176352705,0.08835341365461849,mean_probabilities,2.0,0.0784313725490196,false
3,0.001999018239877782,3.923598389571067,2.136115250869349,1.8036072144288577,0.148840429214261,majority_vote,2.0,0.125,true
4,0.001997791503170295,3.910176250038014,1.8877297565822155,4.208416833667335,0.3640755379885815,mean_logits,4.0,0.3555555555555555,true
5,0.0019960749366453585,3.6826699440951853,3.079980129160457,3.807615230460922,0.5434431269213879,mean_logits,2.0,0.4,false
6,0.0019938694046459124,3.568767094931908,4.0735221063089915,5.410821643286573,1.221655149978403,majority_vote,6.0,0.7904761904761904,true
7,0.0019911760177237373,3.4997799004480368,5.216095380029806,6.012024048096192,2.8377682108327793,majority_vote,6.0,2.654970760233918,true
8,0.0019879961320802605,3.225553414386952,7.004470938897168,8.41683366733467,2.547244265954891,mean_logits,8.0,1.9571428571428569,true
9,0.001984331348883665,3.0300908261605652,9.736711376055638,10.62124248496994,5.773437437376716,mean_logits,18.0,9.851167133520075,true
10,0.001980183513462656,2.883107522205518,11.574764033780427,11.22244488977956,6.717990347654842,mean_probabilities,16.0,8.793650793650793,false
11,0.001975554714377279,2.788188430129505,14.108296075509191,13.426853707414828,8.107609069148399,mean_logits,18.0,10.104761904761904,true
12,0.0019704472823672712,2.634713511175619,15.846994535519126,18.03607214428858,12.925089652640814,mean_probabilities,28.000000000000004,19.066666666666663,true
13,0.0019648637891784585,2.5093622456364413,20.46696472925981,19.639278557114228,13.117558265547387,mean_probabilities,24.0,15.65952380952381,false
14,0.001958807046267809,2.403566066862278,24.739195230998508,21.24248496993988,14.884294318145876,majority_vote,28.000000000000004,17.288888888888888,false
15,0.0019522801033877765,2.2797891232603766,27.670144063586687,25.250501002004004,21.03414425670449,mean_probabilities,34.0,27.419047619047614,true
16,0.00194528624705066,2.1596669533687387,31.495280675608544,25.0501002004008,20.483901343075047,mean_probabilities,34.0,26.6,false
17,0.0019378289988737454,2.0175294042285024,38.648782911077994,35.671342685370746,30.80229949112313,majority_vote,50.0,42.04444444444444,true
18,0.0019299121138060644,1.9361487314941512,41.8281172379533,27.85571142284569,23.4843910267614,mean_probabilities,40.0,29.39999999999999,false
19,0.001921539578237666,1.8737580841356287,42.42424242424242,35.07014028056113,31.54876085973334,mean_probabilities,46.0,37.13333333333333,false
20,0.001912715607992347,1.6974098607194525,49.92548435171386,40.08016032064128,34.9105882178093,majority_vote,57.99999999999999,48.6,true
21,0.00190344464620486,1.5288880779798861,57.22801788375559,38.276553106212425,35.97904327966876,mean_probabilities,50.0,42.46666666666666,false
22,0.00189373136108366,1.4392947695827343,60.70541480377546,47.49498997995992,44.7244384143055,majority_vote,64.0,55.93333333333334,true
23,0.001883580643560321,1.3363303781088702,65.9711872826627,43.8877755511022,40.46467533159735,mean_logits,66.0,58.133333333333326,true
24,0.0018729976048268047,1.2456583122205094,69.64729259811227,44.88977955911824,43.384421766433626,mean_probabilities,62.0,54.133333333333326,false
25,0.001861987573761821,1.1969444235047475,72.03179334326876,45.69138276553106,43.55738342600639,mean_logits,66.0,58.8,true
26,0.0018505560942475787,1.095366397842032,75.36015896671634,49.298597194388776,46.969805456405275,mean_probabilities,72.0,64.66666666666666,true
27,0.0018387089223782717,1.037424059750367,77.44659711872826,45.29058116232465,43.35410156457186,mean_probabilities,74.0,66.99999999999999,true
28,0.001826452023561714,0.9869097546446223,80.12916045702931,47.49498997995992,45.64340294996662,majority_vote,66.0,57.8,false
29,0.0018137915695155755,0.9355466304225704,82.31495280675608,48.49699398797595,47.02241641233895,mean_probabilities,62.0,53.79999999999999,false
30,0.0018007339351597382,0.8644602803880755,84.35171385991057,51.10220440881763,49.46114922154765,mean_probabilities,68.0,62.133333333333326,false
31,0.0017872856954063308,0.822448378555584,87.43169398907104,47.69539078156313,46.541170764027264,mean_probabilities,70.0,64.0,false
32,0.0017734536218490624,0.7686961978096543,89.86587183308495,51.503006012024045,50.03380406021287,mean_probabilities,74.0,69.0,true
33,0.0017592446793535223,0.727190486305813,91.20715350223547,50.901803607214426,49.83445803217782,mean_probabilities,70.0,64.8,false
34,0.0017446660225501588,0.6982851396196823,91.90263288623945,52.104208416833664,50.37187793124054,majority_vote,70.0,64.13333333333333,false
35,0.0017297249922317082,0.6550556618777662,93.34326875310482,50.1002004008016,49.25833887568542,mean_logits,70.0,64.66666666666666,false
36,0.0017144291116568853,0.6466704649648084,94.53551912568307,49.899799599198396,48.955612225278394,mean_probabilities,68.0,62.133333333333326,false
37,0.0016987860827621945,0.6199378847957427,94.68455042225534,50.901803607214426,47.67743778161193,mean_logits,66.0,58.33333333333333,false
38,0.0016828037822837739,0.5832568805607409,96.02583209140586,49.69939879759519,48.188086100598575,mean_probabilities,70.0,64.13333333333333,false
39,0.0016664902577912212,0.5872257485119667,95.7277694982613,49.69939879759519,48.05099731371996,mean_probabilities,74.0,67.33333333333333,false
40,0.0016498537236353998,0.5435374883413907,97.36711376055638,48.897795591182366,48.05706536037506,mean_probabilities,64.0,57.266666666666666,false
41,0.0016329025568122667,0.5152672598507649,98.41033283656235,49.69939879759519,48.90616541682096,mean_probabilities,68.0,62.8,false
42,0.0016156452927448012,0.5098069714658958,98.21162444113264,52.104208416833664,50.856913063102205,mean_probabilities,74.0,68.8,false
43,0.0015980906209851627,0.49660672157839997,98.75807252856433,50.70140280561122,49.42302490329033,mean_probabilities,70.0,63.66666666666666,false
