epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_primary_aggregator,validation_file_acc@1,validation_file_f1,is_best
1,0.002,4.0142804836078,1.5896671634376554,2.2044088176352705,0.09341825902335457,mean_probabilities,2.0,0.0784313725490196,true
2,0.0019997545290689443,3.9373587223646123,1.7386984600099353,2.2044088176352705,0.08888888888888889,mean_probabilities,2.0,0.0784313725490196,false
3,0.001999018239877782,3.920625944488154,2.384500745156483,2.004008016032064,0.44427133015368314,majority_vote,2.0,0.125,true
4,0.001997791503170295,3.9134005032779564,2.334823646299056,1.6032064128256511,0.11963171963171963,mean_logits,2.0,0.0816326530612245,false
5,0.0019960749366453585,3.820283007633609,4.023845007451565,3.807615230460922,0.5447199777096684,mean_logits,4.0,0.8095238095238094,true
6,0.0019938694046459124,3.5657539410313976,5.46448087431694,6.012024048096192,2.703656001440374,mean_logits,10.0,5.068398268398267,true
7,0.0019911760177237373,3.28313502860318,7.848981619473423,10.220440881763528,4.014792546121306,mean_probabilities,12.0,4.723809523809524,true
8,0.0019879961320802605,3.0591817622272397,9.985096870342772,8.617234468937877,4.844340743908747,mean_probabilities,10.0,5.904761904761905,false
9,0.001984331348883665,2.9155147960395644,13.313462493790363,13.026052104208416,8.326354380161945,mean_logits,20.0,13.904761904761903,true
10,0.001980183513462656,2.83557519472125,13.462493790362643,13.627254509018035,8.061229100893453,mean_logits,16.0,5.671428571428572,false
11,0.001975554714377279,2.71249456839128,17.18827620466965,15.430861723446892,8.16658943126806,mean_logits,30.0,19.333333333333332,true
12,0.0019704472823672712,2.5841443321921607,19.92051664182812,17.034068136272545,12.2049478062282,mean_logits,28.000000000000004,17.966666666666665,false
13,0.0019648637891784585,2.449149989276399,23.94436164927968,16.63326653306613,12.582217052093823,mean_logits,26.0,18.066666666666666,false
14,0.001958807046267809,2.314260788124945,25.384997516145056,28.256513026052104,22.861291171150818,mean_logits,46.0,37.46666666666667,true
15,0.0019522801033877765,2.155186511246766,32.78688524590164,24.04809619238477,18.1190487965625,mean_logits,36.0,25.571428571428566,false
16,0.00194528624705066,1.9907860132928992,37.85394932935917,30.66132264529058,23.717769174882136,mean_logits,46.0,34.46666666666667,false
17,0.0019378289988737454,1.8500495771833516,43.070044709388974,30.861723446893784,25.53403116464642,mean_logits,38.0,28.46666666666667,false
18,0.0019299121138060644,1.7211897475057376,49.42871336313959,36.67334669338677,31.43811146198912,mean_logits,52.0,43.8,true
19,0.001921539578237666,1.633290777026393,51.1177347242921,31.663326653306612,26.81115944928809,mean_probabilities,48.0,36.533333333333324,false
20,0.001912715607992347,1.5227011997073192,59.56284153005465,39.879759519038075,35.52644542229496,mean_logits,54.0,46.46666666666667,true
21,0.00190344464620486,1.4228919559133864,61.1525086934923,39.078156312625254,35.25287084226707,mean_probabilities,50.0,41.8,false
22,0.00189373136108366,1.3450670007799492,64.38152011922504,38.276553106212425,35.14531811130688,mean_logits,57.99999999999999,50.66666666666666,true
23,0.001883580643560321,1.2281919064595221,71.23695976154993,42.28456913827655,40.52144439197413,mean_logits,60.0,54.266666666666666,true
24,0.0018729976048268047,1.1503326234921731,73.42275211127671,45.49098196392786,43.563334151487496,majority_vote,60.0,52.800000000000004,false
25,0.001861987573761821,1.075104102292466,78.04272230501739,46.09218436873748,43.42909208822804,mean_logits,62.0,55.333333333333336,true
26,0.0018505560942475787,1.0372364976426232,78.73820168902137,46.893787575150306,45.08207214412922,majority_vote,60.0,52.46666666666666,false
27,0.0018387089223782717,0.9430615713036126,82.31495280675608,41.48296593186373,39.56545485619571,majority_vote,57.99999999999999,51.26666666666666,false
28,0.001826452023561714,0.9026968009840239,84.15300546448087,48.296593186372746,46.76137528142633,majority_vote,64.0,56.8,true
29,0.0018137915695155755,0.8391491524686401,86.18976651763538,43.687374749499,42.108406983785734,majority_vote,57.99999999999999,48.8,false
30,0.0018007339351597382,0.7734526517494247,89.81619473422752,49.498997995991985,47.90300386157567,mean_probabilities,68.0,60.0,true
31,0.0017872856954063308,0.7397829782471276,91.55489319423745,48.09619238476954,45.76178563283829,mean_logits,64.0,56.666666666666664,false
32,0.0017734536218490624,0.686250055304109,93.4923000496771,48.296593186372746,46.91875721090754,mean_probabilities,64.0,57.99999999999999,false
33,0.0017592446793535223,0.671220699442718,93.74068554396423,46.09218436873748,43.83080753010448,mean_probabilities,62.0,54.79999999999999,false
34,0.0017446660225501588,0.6273285622212997,95.03229011425732,49.69939879759519,48.6699433891156,mean_logits,68.0,62.66666666666666,true
35,0.0017297249922317082,0.5865623848212044,96.8206656731247,46.09218436873748,45.217639317664826,majority_vote,62.0,56.33333333333332,false
36,0.0017144291116568853,0.5808292664643017,96.4729259811227,47.69539078156313,45.798205786482,mean_logits,68.0,60.0,false
37,0.0016987860827621945,0.5702340788232468,97.11872826626924,47.69539078156313,45.154359255832325,mean_logits,62.0,54.333333333333336,false
38,0.0016828037822837739,0.564134623139164,96.96969696969697,50.50100200400801,47.30261932567279,mean_logits,66.0,59.333333333333336,false
39,0.0016664902577912212,0.5350309731323093,97.66517635370094,49.899799599198396,48.4718294579393,mean_logits,68.0,59.8,false
40,0.0016498537236353998,0.5070427878099594,98.36065573770492,52.705410821643284,51.094490649018844,majority_vote,70.0,61.999999999999986,true
