epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_primary_aggregator,validation_file_acc@1,validation_file_f1,is_best
1,0.0015,3.2899724123670993,15.996025832091405,30.460921843687377,24.812768502998363,mean_logits,46.0,35.666666666666664,true
2,0.0014998174703333173,2.320784125823141,34.97267759562842,36.67334669338677,33.71683412347392,mean_probabilities,50.0,39.666666666666664,true
3,0.0014992699732424531,1.8562624775469154,48.1371087928465,45.89178356713427,41.21074775025406,mean_probabilities,62.0,51.800000000000004,true
4,0.0014983577844086807,1.644876946753906,55.936413313462495,41.48296593186373,38.865309083875744,mean_logits,54.0,46.49999999999999,false
5,0.0014970813631465484,1.4790024596307625,61.8976651763537,47.49498997995992,45.17563939146938,mean_logits,68.0,60.466666666666654,true
6,0.001495441352172601,1.3413227372541394,66.66666666666667,49.09819639278557,46.51748593399175,mean_logits,66.0,58.133333333333326,false
7,0.0014934385772817527,1.2800500320665764,69.64729259811227,45.09018036072144,42.42420914368282,mean_logits,62.0,52.800000000000004,false
8,0.001491074046931475,1.1941444876178604,74.01887729756582,46.6933867735471,45.612782808855236,mean_logits,66.0,59.33333333333333,false
9,0.0014883489517340065,1.107684362722284,76.85047193243915,49.09819639278557,47.53621954025836,mean_logits,62.0,55.00000000000001,false
10,0.0014852646638568458,1.065142383637028,78.14207650273224,46.6933867735471,45.15544965563984,mean_logits,62.0,53.79999999999999,false
11,0.001481822736331822,1.0774094847026774,77.24788872329856,50.901803607214426,49.10978058720619,mean_logits,70.0,63.0,true
12,0.001478024902273098,0.9847443361396051,81.52011922503726,45.89178356713427,44.493486967517526,majority_vote,66.0,59.133333333333326,false
13,0.0014738730740044936,0.9311475439919682,84.15300546448087,48.69739478957916,46.78085382762405,mean_logits,70.0,62.46666666666667,false
14,0.0014693693420965745,0.9734460165177301,81.27173373075013,47.09418837675351,47.05244478208708,mean_probabilities,74.0,68.33333333333333,true
15,0.0014645159743139863,0.8862956966029668,85.34525583705911,49.298597194388776,46.727591329257116,majority_vote,64.0,55.33333333333332,false
16,0.0014593154144735665,0.8492694702896975,87.03427719821163,50.901803607214426,48.582305834337056,mean_logits,68.0,61.133333333333326,false
17,0.0014537702812138095,0.8412735023370621,87.28266269249876,52.104208416833664,51.18193230758313,mean_logits,72.0,65.0,false
18,0.001447883366676303,0.8021546690782622,88.57426726279185,49.69939879759519,47.025154036309594,mean_logits,72.0,64.26666666666667,false
19,0.0014416576350998016,0.7929127273486137,89.12071535022355,49.69939879759519,49.107119637630234,mean_logits,70.0,64.8,false
20,0.0014350962213276414,0.7790984399450163,89.56780923994039,48.49699398797595,47.441247755637356,majority_vote,70.0,65.13333333333333,false
21,0.0014282024292292536,0.8150048097803767,88.12717337307501,50.50100200400801,49.53459073811426,mean_logits,80.0,74.66666666666666,true
22,0.0014209797300365665,0.7162619817333913,91.60457029309488,54.30861723446894,53.17084056644419,mean_probabilities,74.0,67.33333333333333,false
23,0.001413431760596135,0.7661409158346609,89.76651763537009,54.50901803607214,52.54701975061378,majority_vote,72.0,65.0,false
24,0.0014055623215378792,0.722806316196652,92.30004967709885,48.09619238476954,45.66288991535816,mean_probabilities,66.0,56.8,false
25,0.0013973753753613529,0.6933857915239197,92.79682066567312,50.300601202404806,48.09132197213566,mean_logits,68.0,62.33333333333333,false
26,0.0013888750444405059,0.6837209797414807,93.44262295081967,52.104208416833664,50.02662833856547,mean_logits,74.0,68.13333333333333,false
27,0.0013800656089479444,0.6965197102086673,92.39940387481371,50.901803607214426,49.21547414603613,mean_probabilities,72.0,66.0,false
28,0.0013709515046997347,0.6903709873771762,93.19423745653253,53.707414829659314,52.35746238334137,mean_probabilities,76.0,71.13333333333333,false
29,0.0013615373209218368,0.6774777271412405,93.84003974167909,50.70140280561122,49.61319564401253,majority_vote,70.0,65.13333333333333,false
30,0.0013518277979392911,0.6567006832441168,94.38648782911078,52.30460921843687,51.572748719114216,majority_vote,78.0,73.33333333333334,false
31,0.0013418278247893216,0.6838266652316166,92.69746646795826,48.49699398797595,46.17034437427569,mean_logits,76.0,69.0,false
32,0.001331542436759558,0.6509926723000782,94.33681073025335,49.298597194388776,46.981258285386694,mean_probabilities,74.0,67.8,false
33,0.001320976812852618,0.6392550543061667,94.53551912568307,54.70941883767535,52.83778379061997,mean_probabilities,74.0,67.99999999999999,false
34,0.0013101362731783221,0.614824432404078,96.12518628912072,56.91382765531062,55.52411787018464,mean_logits,84.0,79.66666666666666,true
35,0.001299026276274859,0.6426596418874393,95.13164431197218,54.70941883767535,54.49890364773996,mean_logits,84.0,80.66666666666667,true
36,0.0012876524163602469,0.6070640586942094,95.82712369597616,53.3066132264529,51.66757181029534,mean_logits,80.0,74.8,false
37,0.001276020420515477,0.6319768187778244,94.33681073025335,57.71543086172345,56.69705657678198,majority_vote,90.0,86.66666666666666,true
38,0.0012641361458007538,0.6065351014935549,95.67809239940388,54.30861723446894,52.60194238197542,mean_probabilities,74.0,67.0,false
39,0.0012520055763062914,0.5827732432024786,96.4729259811227,54.10821643286573,52.852416382416415,mean_probabilities,84.0,80.33333333333333,false
40,0.0012396348201391422,0.5709222539615347,96.72131147540983,54.90981963927856,53.03231481755021,mean_logits,74.0,68.33333333333333,false
41,0.0012270301063475816,0.5725030668387056,97.26775956284153,55.71142284569138,53.77150383932005,mean_probabilities,82.0,76.33333333333331,false
42,0.0012141977817845945,0.5588478785927948,97.51614505712867,52.705410821643284,51.15210917738951,mean_logits,70.0,63.0,false
43,0.0012011443079120428,0.5544086009841385,97.11872826626924,52.705410821643284,51.975790091120324,mean_logits,76.0,70.33333333333333,false
44,0.0011878762575471273,0.579973565498751,96.6716343765524,53.50701402805611,51.53331811497852,majority_vote,76.0,70.33333333333333,false
45,0.001174400311552774,0.5629991770116358,97.0193740685544,57.51503006012024,56.51667163630981,mean_probabilities,88.0,84.0,false
46,0.0011607232554736186,0.5430442221236952,97.96323894684551,55.51102204408818,53.69596276715066,mean_logits,72.0,64.66666666666666,false
47,0.0011468519761192817,0.5359963119414927,98.21162444113264,53.707414829659314,53.184279239040045,mean_logits,84.0,78.66666666666667,false
48,0.001132793458096651,0.5416746865560093,97.86388474913065,52.705410821643284,51.475724761835764,mean_logits,76.0,70.0,false
49,0.0011185547802929237,0.5357865052204255,98.16194734227521,53.3066132264529,52.76335692819069,mean_logits,76.0,69.8,false
50,0.0011041431123111711,0.5185782043008856,98.46000993541978,55.31062124248497,53.86696853700465,majority_vote,76.0,69.66666666666666,false
51,0.0010895657108602294,0.5159694755693247,98.41033283656235,52.505010020040075,50.942518889939905,mean_probabilities,72.0,65.9047619047619,false
52,0.0010748299161007272,0.525196726826726,97.91356184798808,53.90781563126252,52.83093241822272,mean_logits,72.0,65.66666666666666,false
53,0.0010599431479490944,0.4962015954996896,99.30452061599603,55.11022044088176,53.46644477763663,mean_logits,80.0,74.33333333333333,false
54,0.00104491290234141,0.49157305419356206,99.05613512170889,53.106212424849694,52.509168374189244,mean_probabilities,78.0,73.33333333333333,false
55,0.0010297467474589732,0.4936492115599684,99.15548931942375,54.70941883767535,53.496292349086126,majority_vote,84.0,79.66666666666667,false
