benchmark_retained,channel,file_count,files_flatline,files_with_sentinel,max_excl_sentinel,mean_excl_sentinel,min_excl_sentinel,sentinel_value_fraction,split,std_excl_sentinel,value_count,zero_value_fraction
true,NO2,250,0,0,753.0000,97.7950,13.0000,0.000000,offline_training,118.6796,150711,0.000000
true,C2H5OH,250,0,0,863.0000,138.3277,39.0000,0.000000,offline_training,143.4011,150711,0.000000
true,VOC,250,0,0,953.0000,195.9432,26.0000,0.000000,offline_training,196.1878,150711,0.000000
true,CO,250,0,0,1006.0000,792.9377,705.0000,0.000000,offline_training,61.6672,150711,0.000000
true,Alcohol,250,26,0,42.0000,3.4068,0.0000,0.000000,offline_training,3.2790,150711,0.135564
true,LPG,250,0,0,507.0000,30.3329,2.0000,0.000000,offline_training,38.2857,150711,0.000000
false,Benzene,250,222,94,55735.0000,20.5953,0.0000,0.324283,offline_training,968.7874,150711,0.668034
false,Temperature,250,7,0,33.5900,27.1346,24.3500,0.000000,offline_training,3.2766,150711,0.000000
false,Pressure,250,3,0,1024.1900,949.1092,688.6000,0.000000,offline_training,131.9525,150711,0.000000
false,Humidity,250,49,0,100.0000,46.6096,20.1500,0.000000,offline_training,27.9040,150711,0.000000
false,Gas_Resistance,250,49,0,704.9600,220.8908,0.0000,0.000000,offline_training,179.9909,150711,0.203913
false,Altitude,250,10,0,3170.5400,654.2905,-59.4700,0.000000,offline_training,1274.2569,150711,0.000000
true,NO2,50,0,0,775.0000,98.5685,15.0000,0.000000,offline_testing,121.2987,30007,0.000000
true,C2H5OH,50,0,0,850.0000,143.2856,41.0000,0.000000,offline_testing,154.1549,30007,0.000000
true,VOC,50,0,0,947.0000,196.9757,26.0000,0.000000,offline_testing,200.2591,30007,0.000000
true,CO,50,0,0,1004.0000,794.0243,710.0000,0.000000,offline_testing,61.7913,30007,0.000000
true,Alcohol,50,5,0,30.0000,3.4608,0.0000,0.000000,offline_testing,3.1138,30007,0.124738
true,LPG,50,0,0,444.0000,32.9265,3.0000,0.000000,offline_testing,45.7979,30007,0.000000
false,Benzene,50,44,18,55735.0000,23.2528,0.0000,0.320459,offline_testing,1043.8777,30007,0.669677
false,Temperature,50,1,0,33.5900,27.1445,24.3700,0.000000,offline_testing,3.3044,30007,0.000000
false,Pressure,50,0,0,1023.4900,948.1708,688.6000,0.000000,offline_testing,132.7011,30007,0.000000
false,Humidity,50,10,0,100.0000,46.7062,20.3200,0.000000,offline_testing,28.0881,30007,0.000000
false,Gas_Resistance,50,10,0,685.5400,221.3928,0.0000,0.000000,offline_testing,174.7124,30007,0.206952
false,Altitude,50,2,0,3170.5400,663.4267,-53.7000,0.000000,offline_testing,1281.4627,30007,0.000000
