benchmark_retained,channel_count,file_acc@1,group,is_single_channel,vs_chance
false,12,72.0,ALL12,false,36.0x
false,7,70.0,BENCHMARK6+GasResistance,false,35.0x
true,6,54.0,BENCHMARK6,false,27.0x
false,6,36.0,DROPPED6,false,18.0x
false,1,30.0,Gas_Resistance,true,15.0x
false,5,28.0,DROPPED6_minus_GasResistance,false,14.0x
false,4,26.0,ENVIRONMENTAL4,false,13.0x
false,1,24.0,Humidity,true,12.0x
true,1,22.0,NO2,true,11.0x
true,1,16.0,VOC,true,8.0x
true,1,16.0,CO,true,8.0x
false,1,16.0,Pressure,true,8.0x
false,1,16.0,Altitude,true,8.0x
true,1,12.0,C2H5OH,true,6.0x
true,1,12.0,LPG,true,6.0x
true,1,10.0,Alcohol,true,5.0x
false,1,4.0,Benzene,true,2.0x
false,1,4.0,Temperature,true,2.0x
