agreement,disagreement,probability_correlation,run_id_a,run_id_b
1.0,0.0,1.0,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.82,0.18000000000000005,0.9391936015415179,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.9,0.09999999999999998,0.9612217224004126,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.64,0.36,0.7465395248158804,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.78,0.21999999999999997,0.8611879249962404,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.88,0.12,0.9568605811658011,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.58,0.42000000000000004,0.7454737454841083,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.9,0.09999999999999998,0.9776494520682583,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.72,0.28,0.8413165756518622,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.88,0.12,0.8946461890692452,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.82,0.18000000000000005,0.9391936015415179,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
1.0,0.0,0.9999999999999999,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.84,0.16000000000000003,0.9293379094349805,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.64,0.36,0.72008640979539,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.76,0.24,0.8161281296176622,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.86,0.14,0.9211749579797699,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.6,0.4,0.7371349048812442,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.82,0.18000000000000005,0.9258765693236611,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.74,0.26,0.8013635583562184,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.84,0.16000000000000003,0.8654895880866412,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.9,0.09999999999999998,0.9612217224004126,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.84,0.16000000000000003,0.9293379094349805,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
1.0,0.0,1.0,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.58,0.42000000000000004,0.7035560784119776,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.76,0.24,0.8360853946853747,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.88,0.12,0.9667865949977564,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.58,0.42000000000000004,0.7317585786435681,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.84,0.16000000000000003,0.9525752403636555,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.7,0.30000000000000004,0.8261942633752483,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.84,0.16000000000000003,0.8891906072436884,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.64,0.36,0.7465395248158804,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.64,0.36,0.7200864097953898,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.58,0.42000000000000004,0.7035560784119776,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
1.0,0.0,1.0,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.62,0.38,0.7700592018741453,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.66,0.33999999999999997,0.6989406763344317,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.52,0.48,0.7610162690693935,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.64,0.36,0.7487420774532701,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.6,0.4,0.7220296391141613,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.62,0.38,0.7360394606773972,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.78,0.21999999999999997,0.8611879249962404,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.76,0.24,0.8161281296176622,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.76,0.24,0.8360853946853748,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.62,0.38,0.7700592018741453,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
1.0,0.0,1.0,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.8,0.19999999999999996,0.8339198727726854,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.56,0.43999999999999995,0.7934028014560672,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.8,0.19999999999999996,0.8548081407723817,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.7,0.30000000000000004,0.8783559951031193,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.8,0.19999999999999996,0.8657567145881353,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.88,0.12,0.9568605811658011,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.86,0.14,0.92117495797977,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.88,0.12,0.9667865949977565,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.66,0.33999999999999997,0.6989406763344317,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.8,0.19999999999999996,0.8339198727726854,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
1.0,0.0,1.0,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.56,0.43999999999999995,0.7290781151585308,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.9,0.09999999999999998,0.9566592309836658,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.72,0.28,0.8207645675173942,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.88,0.12,0.8737953188855754,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.58,0.42000000000000004,0.7454737454841084,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.6,0.4,0.7371349048812441,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.58,0.42000000000000004,0.7317585786435682,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.52,0.48,0.7610162690693933,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.56,0.43999999999999995,0.7934028014560671,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.56,0.43999999999999995,0.7290781151585308,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
1.0,0.0,0.9999999999999999,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.56,0.43999999999999995,0.7489343682363309,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.54,0.45999999999999996,0.7697399470199088,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.58,0.42000000000000004,0.7785598628898498,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.9,0.09999999999999998,0.9776494520682583,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.82,0.18000000000000005,0.9258765693236611,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.84,0.16000000000000003,0.9525752403636555,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.64,0.36,0.7487420774532701,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.8,0.19999999999999996,0.8548081407723815,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.9,0.09999999999999998,0.9566592309836657,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.56,0.43999999999999995,0.7489343682363309,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
1.0,0.0,1.0,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.76,0.24,0.8381013963235472,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.9,0.09999999999999998,0.8921682654608775,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.72,0.28,0.8413165756518621,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.74,0.26,0.8013635583562184,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.7,0.30000000000000004,0.8261942633752483,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.6,0.4,0.7220296391141613,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.7,0.30000000000000004,0.8783559951031196,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.72,0.28,0.8207645675173941,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.54,0.45999999999999996,0.7697399470199088,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.76,0.24,0.8381013963235472,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
1.0,0.0,0.9999999999999998,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
0.7,0.30000000000000004,0.8492941237598883,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
0.88,0.12,0.8946461890692451,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m01c_cnn_all12_diff_locked_seed13-20260402-014020-e0a36a77
0.84,0.16000000000000003,0.865489588086641,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m01c_cnn_all12_diff_locked_seed42-20260402-013907-e83f43b0
0.84,0.16000000000000003,0.8891906072436883,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738
0.62,0.38,0.7360394606773972,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m02_deep_temporal_resnet_all12_diff_locked-20260402-030908-ad5e87f6
0.8,0.19999999999999996,0.8657567145881353,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m04_cnn_all12_diff_locked_seed101-20260403-190106-6a50382c
0.88,0.12,0.8737953188855754,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4
0.58,0.42000000000000004,0.7785598628898497,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e
0.9,0.09999999999999998,0.8921682654608775,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751
0.7,0.30000000000000004,0.8492941237598882,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m04_hinception_all12_diff_seed29-20260403-194245-21b0f3f8
1.0,0.0,1.0,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727
