aggregator_selection_json,config_path,cv_oof_file_acc@1,cv_oof_file_acc@5,cv_oof_file_macro_f1,fold_mean_file_acc@1,fold_mean_file_macro_f1,fold_std_file_acc@1,fold_std_file_macro_f1,member_id,model_family,oof_score_bundle_path,oof_summary_json,rank,selected_aggregator,selected_epoch_budget,selected_for_final_bank
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed7/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m01c_cnn_all12_diff_locked_seed7.yaml,87.6,98.4,87.2004329004329,87.6,84.46666666666665,4.2708313008125245,5.4143841344658545,m01c_cnn_all12_diff_locked_seed7,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed7/oof_file_scores_mean_logits.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed7/oof_file_level/mean_logits/summary_metrics.json,1,mean_logits,59,true
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_cnn_all12_diff_locked_seed101/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m04_cnn_all12_diff_locked_seed101.yaml,87.2,98.4,85.99521589521589,87.2,83.66666666666666,5.455272678794342,6.899275324264132,m04_cnn_all12_diff_locked_seed101,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_cnn_all12_diff_locked_seed101/oof_file_scores_mean_probabilities.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_cnn_all12_diff_locked_seed101/oof_file_level/mean_probabilities/summary_metrics.json,2,mean_probabilities,91,false
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed13/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m01c_cnn_all12_diff_locked_seed13.yaml,86.0,98.0,85.15386835386836,86.0,81.89333333333332,5.513619500836088,7.139324586790796,m01c_cnn_all12_diff_locked_seed13,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed13/oof_file_scores_mean_logits.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed13/oof_file_level/mean_logits/summary_metrics.json,3,mean_logits,45,false
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_patch_transformer_all12_diff_seed19/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m04_patch_transformer_all12_diff_seed19.yaml,86.0,97.6,84.45104895104895,86.0,82.6,5.059644256269407,5.960611452601898,m04_patch_transformer_all12_diff_seed19,patch_transformer,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_patch_transformer_all12_diff_seed19/oof_file_scores_majority_vote.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_patch_transformer_all12_diff_seed19/oof_file_level/majority_vote/summary_metrics.json,4,majority_vote,88,false
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_cnn_all12_diff_locked_seed202/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m04_cnn_all12_diff_locked_seed202.yaml,85.6,98.4,84.69690309690309,85.6,81.66666666666666,4.8,5.9254629448770615,m04_cnn_all12_diff_locked_seed202,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_cnn_all12_diff_locked_seed202/oof_file_scores_mean_probabilities.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_cnn_all12_diff_locked_seed202/oof_file_level/mean_probabilities/summary_metrics.json,5,mean_probabilities,88,false
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed42/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m01c_cnn_all12_diff_locked_seed42.yaml,85.2,96.39999999999999,84.39246309246309,85.2,81.26666666666667,5.74108003776293,7.053446753971504,m01c_cnn_all12_diff_locked_seed42,cnn,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed42/oof_file_scores_majority_vote.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m01c_cnn_all12_diff_locked_seed42/oof_file_level/majority_vote/summary_metrics.json,6,majority_vote,63,true
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m02_deep_temporal_resnet_all12_diff_locked/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m02_deep_temporal_resnet_all12_diff_locked.yaml,80.80000000000001,94.8,80.41561771561771,80.8,76.26666666666665,5.3065996645686395,7.002856560004638,m02_deep_temporal_resnet_all12_diff_locked,deep_temporal_resnet,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m02_deep_temporal_resnet_all12_diff_locked/oof_file_scores_mean_probabilities.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m02_deep_temporal_resnet_all12_diff_locked/oof_file_level/mean_probabilities/summary_metrics.json,7,mean_probabilities,67,false
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_deep_temporal_resnet_all12_diff_seed7/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m04_deep_temporal_resnet_all12_diff_seed7.yaml,80.4,97.2,80.32424242424243,80.4,75.73333333333332,3.4409301068170506,4.337946262665981,m04_deep_temporal_resnet_all12_diff_seed7,deep_temporal_resnet,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_deep_temporal_resnet_all12_diff_seed7/oof_file_scores_mean_logits.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_deep_temporal_resnet_all12_diff_seed7/oof_file_level/mean_logits/summary_metrics.json,8,mean_logits,61,true
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_hinception_all12_diff_seed17/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m04_hinception_all12_diff_seed17.yaml,66.0,95.6,65.90601912707176,66.0,59.25333333333333,2.8284271247461903,2.6248047546436677,m04_hinception_all12_diff_seed17,hinception,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_hinception_all12_diff_seed17/oof_file_scores_mean_probabilities.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_hinception_all12_diff_seed17/oof_file_level/mean_probabilities/summary_metrics.json,9,mean_probabilities,43,false
/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_hinception_all12_diff_seed29/aggregator_selection.json,/Users/jeremykalfus/CodingProjects/smelt/configs/moonshot-enhanced/m04_hinception_all12_diff_seed29.yaml,63.6,95.19999999999999,62.546814296814304,63.6,56.22666666666667,8.2365041127896,8.579624441405086,m04_hinception_all12_diff_seed29,hinception,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_hinception_all12_diff_seed29/oof_file_scores_mean_probabilities.npz,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m05_grouped_cv_refit-20260420-153535-fbfed23f/cv/model_bank/m04_hinception_all12_diff_seed29/oof_file_level/mean_probabilities/summary_metrics.json,10,mean_probabilities,50,true
