aggregator_selection_json,config_path,cv_oof_file_acc@1,cv_oof_file_acc@5,cv_oof_file_macro_f1,fold_mean_file_acc@1,fold_mean_file_macro_f1,fold_std_file_acc@1,fold_std_file_macro_f1,member_id,model_family,oof_score_bundle_path,oof_summary_json,rank,selected_aggregator,selected_epoch_budget,selected_for_final_bank
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed202\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_cnn_benchmark6_diff_locked_seed202.yaml,74.0,95.6,73.88782473565081,74.0,67.88666666666666,5.656854249492381,6.1658413862181005,m05b_cnn_benchmark6_diff_locked_seed202,cnn,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed202\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed202\oof_file_level\mean_logits\summary_metrics.json,1,mean_logits,89,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed42\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_cnn_benchmark6_diff_locked_seed42.yaml,74.0,95.19999999999999,73.59009421950599,74.0,68.45333333333333,6.324555320336759,6.666986658987034,m05b_cnn_benchmark6_diff_locked_seed42,cnn,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed42\oof_file_scores_mean_probabilities.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed42\oof_file_level\mean_probabilities\summary_metrics.json,2,mean_probabilities,87,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_patch_transformer_benchmark6_diff_seed19\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_patch_transformer_benchmark6_diff_seed19.yaml,73.6,94.0,72.35678765678767,73.6,67.33333333333331,4.2708313008125245,5.011098792790968,m05b_patch_transformer_benchmark6_diff_seed19,patch_transformer,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_patch_transformer_benchmark6_diff_seed19\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_patch_transformer_benchmark6_diff_seed19\oof_file_level\mean_logits\summary_metrics.json,3,mean_logits,86,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed101\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_cnn_benchmark6_diff_locked_seed101.yaml,72.8,94.0,72.57433938610409,72.8,66.83333333333333,7.2221880341071145,7.9437466671030705,m05b_cnn_benchmark6_diff_locked_seed101,cnn,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed101\oof_file_scores_mean_probabilities.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed101\oof_file_level\mean_probabilities\summary_metrics.json,4,mean_probabilities,88,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed13\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_cnn_benchmark6_diff_locked_seed13.yaml,72.8,93.2,71.989787989788,72.8,66.05333333333333,5.6,5.782948113971698,m05b_cnn_benchmark6_diff_locked_seed13,cnn,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed13\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed13\oof_file_level\mean_logits\summary_metrics.json,5,mean_logits,83,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed7\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_cnn_benchmark6_diff_locked_seed7.yaml,72.0,95.19999999999999,71.97452547452546,72.0,65.58666666666666,8.0,8.868460971329805,m05b_cnn_benchmark6_diff_locked_seed7,cnn,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed7\oof_file_scores_mean_probabilities.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_cnn_benchmark6_diff_locked_seed7\oof_file_level\mean_probabilities\summary_metrics.json,6,mean_probabilities,88,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_deep_temporal_resnet_benchmark6_diff_locked\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_deep_temporal_resnet_benchmark6_diff_locked.yaml,67.2,89.2,66.39555999556,67.2,60.46666666666666,2.993325909419153,3.691431519975235,m05b_deep_temporal_resnet_benchmark6_diff_locked,deep_temporal_resnet,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_deep_temporal_resnet_benchmark6_diff_locked\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_deep_temporal_resnet_benchmark6_diff_locked\oof_file_level\mean_logits\summary_metrics.json,7,mean_logits,77,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_deep_temporal_resnet_benchmark6_diff_seed7\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_deep_temporal_resnet_benchmark6_diff_seed7.yaml,66.0,90.4,65.08219558219557,66.0,59.4,3.3466401061363023,3.388870673903687,m05b_deep_temporal_resnet_benchmark6_diff_seed7,deep_temporal_resnet,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_deep_temporal_resnet_benchmark6_diff_seed7\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_deep_temporal_resnet_benchmark6_diff_seed7\oof_file_level\mean_logits\summary_metrics.json,8,mean_logits,84,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_hinception_benchmark6_diff_seed29\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_hinception_benchmark6_diff_seed29.yaml,58.8,89.2,57.57501942501943,58.8,50.71999999999999,6.645299090334459,6.189223609540125,m05b_hinception_benchmark6_diff_seed29,hinception,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_hinception_benchmark6_diff_seed29\oof_file_scores_mean_probabilities.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_hinception_benchmark6_diff_seed29\oof_file_level\mean_probabilities\summary_metrics.json,9,mean_probabilities,42,true
C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_hinception_benchmark6_diff_seed17\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m05b_hinception_benchmark6_diff_seed17.yaml,56.39999999999999,88.0,56.218247765306586,56.4,49.580952380952375,10.150862032359617,10.432741066843386,m05b_hinception_benchmark6_diff_seed17,hinception,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_hinception_benchmark6_diff_seed17\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05b_grouped_cv_refit-20260810-011944-8b717362\cv\model_bank\m05b_hinception_benchmark6_diff_seed17\oof_file_level\mean_logits\summary_metrics.json,10,mean_logits,45,true
