aggregator_selection_json,config_path,cv_oof_file_acc@1,cv_oof_file_acc@5,cv_oof_file_macro_f1,fold_mean_file_acc@1,fold_mean_file_macro_f1,fold_std_file_acc@1,fold_std_file_macro_f1,member_id,model_family,oof_score_bundle_path,oof_summary_json,rank,selected_aggregator,selected_epoch_budget,selected_for_final_bank
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_cnn_all12_diff_locked_seed202\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m04_cnn_all12_diff_locked_seed202.yaml,87.2,98.4,85.96919746919748,87.2,83.39999999999999,4.308131845707603,5.658425379712787,m04_cnn_all12_diff_locked_seed202,cnn,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_cnn_all12_diff_locked_seed202\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_cnn_all12_diff_locked_seed202\oof_file_level\mean_logits\summary_metrics.json,1,mean_logits,68,true
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed7\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m01c_cnn_all12_diff_locked_seed7.yaml,86.8,97.6,85.57731157731158,86.8,83.13333333333333,4.664761515876241,5.7565421719794445,m01c_cnn_all12_diff_locked_seed7,cnn,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed7\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed7\oof_file_level\mean_logits\summary_metrics.json,2,mean_logits,65,true
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed42\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m01c_cnn_all12_diff_locked_seed42.yaml,86.4,98.0,85.53738483738485,86.4,82.93333333333332,5.122499389946279,6.122454119423395,m01c_cnn_all12_diff_locked_seed42,cnn,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed42\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed42\oof_file_level\mean_logits\summary_metrics.json,3,mean_logits,83,false
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed13\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m01c_cnn_all12_diff_locked_seed13.yaml,86.0,94.39999999999999,85.43611388611389,86.0,81.99999999999999,4.560701700396552,5.59761854124889,m01c_cnn_all12_diff_locked_seed13,cnn,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed13\oof_file_scores_majority_vote.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m01c_cnn_all12_diff_locked_seed13\oof_file_level\majority_vote\summary_metrics.json,4,majority_vote,52,true
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_patch_transformer_all12_diff_seed19\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m04_patch_transformer_all12_diff_seed19.yaml,85.2,97.2,85.03578643578642,85.2,81.86666666666666,5.1536394906900505,6.36867333123626,m04_patch_transformer_all12_diff_seed19,patch_transformer,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_patch_transformer_all12_diff_seed19\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_patch_transformer_all12_diff_seed19\oof_file_level\mean_logits\summary_metrics.json,5,mean_logits,62,true
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_cnn_all12_diff_locked_seed101\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m04_cnn_all12_diff_locked_seed101.yaml,85.2,98.0,84.5113997113997,85.2,81.53333333333333,4.664761515876241,5.584104424365846,m04_cnn_all12_diff_locked_seed101,cnn,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_cnn_all12_diff_locked_seed101\oof_file_scores_mean_probabilities.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_cnn_all12_diff_locked_seed101\oof_file_level\mean_probabilities\summary_metrics.json,6,mean_probabilities,66,false
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m02_deep_temporal_resnet_all12_diff_locked\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m02_deep_temporal_resnet_all12_diff_locked.yaml,84.39999999999999,97.2,83.97243867243867,84.4,80.8,3.8781438859330635,4.145144415122616,m02_deep_temporal_resnet_all12_diff_locked,deep_temporal_resnet,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m02_deep_temporal_resnet_all12_diff_locked\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m02_deep_temporal_resnet_all12_diff_locked\oof_file_level\mean_logits\summary_metrics.json,7,mean_logits,99,true
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_deep_temporal_resnet_all12_diff_seed7\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m04_deep_temporal_resnet_all12_diff_seed7.yaml,79.2,97.6,78.53174603174604,79.2,74.53333333333333,3.7094473981982814,4.455209185760963,m04_deep_temporal_resnet_all12_diff_seed7,deep_temporal_resnet,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_deep_temporal_resnet_all12_diff_seed7\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_deep_temporal_resnet_all12_diff_seed7\oof_file_level\mean_logits\summary_metrics.json,8,mean_logits,59,false
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_hinception_all12_diff_seed17\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m04_hinception_all12_diff_seed17.yaml,68.8,95.6,68.31274281274281,68.8,62.760000000000005,6.4,6.085260881835717,m04_hinception_all12_diff_seed17,hinception,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_hinception_all12_diff_seed17\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_hinception_all12_diff_seed17\oof_file_level\mean_logits\summary_metrics.json,9,mean_logits,45,false
C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_hinception_all12_diff_seed29\aggregator_selection.json,C:\Users\jerem\codingprojects\smelt\configs\moonshot-enhanced\m04_hinception_all12_diff_seed29.yaml,66.0,94.39999999999999,65.64632034632035,66.0,60.266666666666666,6.811754546370558,6.280127387243032,m04_hinception_all12_diff_seed29,hinception,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_hinception_all12_diff_seed29\oof_file_scores_mean_logits.npz,C:\smelt_runs\m05_grouped_cv_refit-20260810-040538-56c2b7d7\cv\model_bank\m04_hinception_all12_diff_seed29\oof_file_level\mean_logits\summary_metrics.json,10,mean_logits,47,false
