all12_correct,all12_predicted,benchmark6_correct,benchmark6_predicted,class_name,n_files
1,allspice,1,allspice,allspice,1
1,almond,1,almond,almond,1
1,angelica,1,angelica,angelica,1
0,mango,0,garlic,apple,1
1,asparagus,1,asparagus,asparagus,1
1,avocado,0,pear,avocado,1
1,banana,1,banana,banana,1
1,brazil_nut,1,brazil_nut,brazil_nut,1
1,broccoli,1,broccoli,broccoli,1
1,brussel_sprouts,0,apple,brussel_sprouts,1
1,cabbage,1,cabbage,cabbage,1
1,cashew,1,cashew,cashew,1
0,cabbage,1,cauliflower,cauliflower,1
0,mustard,0,mustard,chamomile,1
0,hazelnut,1,chervil,chervil,1
1,chestnuts,1,chestnuts,chestnuts,1
1,chives,1,chives,chives,1
1,cinnamon,1,cinnamon,cinnamon,1
1,cloves,1,cloves,cloves,1
1,coriander,1,coriander,coriander,1
1,cumin,1,cumin,cumin,1
1,dill,1,dill,dill,1
1,garlic,1,garlic,garlic,1
1,ginger,0,chamomile,ginger,1
1,hazelnut,0,walnuts,hazelnut,1
1,kiwi,1,kiwi,kiwi,1
1,lemon,1,lemon,lemon,1
1,mandarin_orange,0,pear,mandarin_orange,1
1,mango,1,mango,mango,1
0,chamomile,0,chamomile,mint,1
1,mugwort,1,mugwort,mugwort,1
1,mustard,1,mustard,mustard,1
1,nutmeg,1,nutmeg,nutmeg,1
1,oregano,1,oregano,oregano,1
1,peach,1,peach,peach,1
0,walnuts,1,peanuts,peanuts,1
1,pear,1,pear,pear,1
1,pecans,1,pecans,pecans,1
1,pili_nut,1,pili_nut,pili_nut,1
1,pineapple,1,pineapple,pineapple,1
1,pistachios,1,pistachios,pistachios,1
1,potato,1,potato,potato,1
1,radish,1,radish,radish,1
1,saffron,1,saffron,saffron,1
1,star_anise,1,star_anise,star_anise,1
1,strawberry,1,strawberry,strawberry,1
1,sweet_potato,0,peach,sweet_potato,1
0,cabbage,0,pear,tomato,1
1,turnip,0,kiwi,turnip,1
1,walnuts,1,walnuts,walnuts,1
